To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
937,B11,B11_6734,HPA037915,PRDX5,P30044,262.86,peroxiredoxin 5,Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000126432,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
938,C11,C11_6734,HPA039015,DYNC2H1,Q8NCM8,3.42,dynein cytoplasmic 2 heavy chain 1,Cytoskeleton related proteins;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000187240,Christian,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Cytosol - 7: Approved (auto);Mitochondria - 7: Approved (auto),3:Approved,Nucleoplasm,Mitochondria;Cytosol,,,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
939,D11,D11_6734,HPA041325,CYP51A1,Q16850,75.72,cytochrome P450 family 51 subfamily A member 1,Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000001630,Christian,,1000: Finished IF,Endoplasmic reticulum - 1 [3]: Supportive (manual),2:Supportive,Endoplasmic reticulum,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
940,E11,E11_6734,HPA041940,PRKCSH,P14314,226.56,protein kinase C substrate 80K-H,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000130175,Christian,,1000: Finished IF,Endoplasmic reticulum - 2 [7]: Supportive (?),2:Supportive,Endoplasmic reticulum,,,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
941,F11,F11_6734,HPA043227,ECI1,P42126,71.79,enoyl-CoA delta isomerase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000167969,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
942,G11,G11_6734,HPA044393,FDXR,P22570,54.19,ferredoxin reductase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000161513,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
943,H11,H11_6734,HPA046077,ERCC3,P19447,45.80,"ERCC excision repair 3, TFIIH core complex helicase subunit",Cancer related proteins;Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000163161,Christian,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,,
944,A12,A12_6734,HPA047171,SOAT1,P35610,45.16,sterol O-acyltransferase 1,Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000057252,Christian,,1000: Finished IF,Endoplasmic reticulum - 1 [3]: Supportive (auto),2:Supportive,Endoplasmic reticulum,,,,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,4:No bands detected.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.
945,B12,B12_6734,HPA047478,TXN,P10599,302.44,thioredoxin,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000136810,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm;Cytosol,,Nucleoplasm;Cytosol,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
946,C12,C12_6734,HPA055922,MIA3,Q5JRA6,26.31,"MIA family member 3, ER export factor",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);SH3-domain containing proteins;Transporters,ENSG00000154305,Christian,,1000: Finished IF,Vesicles - 6 [12]: Approved (auto),3:Approved,Vesicles,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.
947,D12,D12_6734,HPA056511,NLK,Q9UBE8,15.48,nemo like kinase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000087095,Christian,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Cell Junctions - 7: Approved (auto),3:Approved,Nucleoplasm,Cell Junctions,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.,6:Weak band of predicted size but with additional bands of higher intensity also present.
948,E12,E12_6734,HPA062766,DLAT,P10515,24.91,dihydrolipoamide S-acetyltransferase,Citric acid cycle related proteins;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000150768,Christian,,1000: Finished IF,Mitochondria - 1 [3]: Supportive (auto),2:Supportive,Mitochondria,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
949,F12,F12_6734,HPA067966,RUVBL2,Q9Y230,56.83,RuvB like AAA ATPase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000183207,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Centrosome - 5: Approved (auto),2:Supportive,Nucleoplasm;Cytosol,Centrosome,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
950,G12,G12_6734,HPA071089,NSF,P46459,15.21,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000073969,Christian,,1000: Finished IF,Cytosol - 1 [3]: Supportive (auto),2:Supportive,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
951,A01,A01_6735,HPA005857,FBP1,P09467,0.81,fructose-bisphosphatase 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000165140,Christian,,1000: Finished IF,Mitochondria - 7: Approved (auto),3:Approved,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
952,B01,B01_6735,HPA005946,CDKN1A,P38936,87.55,cyclin dependent kinase inhibitor 1A,Cancer related proteins;Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000124762,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Nuclear bodies - 3: Supportive (auto),2:Supportive,Nucleoplasm,Nuclear bodies,Nucleoplasm;Nuclear bodies,Nucleoplasm,,,,4:No bands detected.,,
953,C01,C01_6735,HPA006024,CDK4,P11802,222.04,cyclin dependent kinase 4,Cancer-related genes;Disease related genes;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000135446,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoli - 3: Supportive (auto);Nuclear membrane - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Cytosol,Nucleoplasm;Nuclear membrane;Nucleoli,,Nucleoplasm;Nuclear membrane;Nucleoli;Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
954,D01,D01_6735,HPA006119,SLC19A2,O60779,8.03,solute carrier family 19 member 2,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000117479,Christian,,1000: Finished IF,Cytosol - 8: Approved (auto),3:Approved,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
955,E01,E01_6735,HPA006123,BUB1,O43683,81.55,BUB1 mitotic checkpoint serine/threonine kinase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000169679,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Nucleoplasm,Cytosol,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
956,F01,F01_6735,HPA006155,PDZK1,Q5T2W1,1.26,PDZ domain containing 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000174827,Diana,,1000: Finished IF,Vesicles - 7: Approved (auto);Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Vesicles,Nucleoplasm;Cytosol,,Nucleoplasm;Vesicles;Cytosol,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,4:No bands detected.
957,G01,G01_6735,HPA006366,POLRMT,O00411,23.05,RNA polymerase mitochondrial,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000099821,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
958,H01,H01_6735,HPA006417,HTATIP2,Q9BUP3,57.36,HIV-1 Tat interactive protein 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000109854,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.
959,A02,A02_6735,HPA006456,AK1,P00568,19.77,adenylate kinase 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000106992,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
960,B02,B02_6735,HPA006564,PRKCA,P17252,30.68,protein kinase C alpha,Cancer-related genes;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);RAS pathway related proteins,ENSG00000154229,Christian,,1000: Finished IF,Cytosol - 1 [3]: Supportive (auto);Plasma membrane - 1 [3]: Supportive (auto),2:Supportive,Cytosol,Plasma membrane,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
961,C02,C02_6735,HPA006607,PRRX2,Q99811,8.73,paired related homeobox 2,Cancer related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000167157,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Nuclear bodies - 7: Approved (auto),3:Approved,Nucleoplasm,Nuclear bodies,,Nucleoplasm,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
